,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,predicted
327,27140131,Naegok-dong,내곡동,19.656914549888306
328,27140132,Neungseong-dong,능성동,71.2514026557123
329,27140133,Jinin-dong,진인동,64.52072424151956
330,27140134,Dohak-dong,도학동,79.13665257415154
331,27140135,Baegan-dong,백안동,70.59632294605987
332,27140136,Migok-dong,미곡동,28.681145190892888
333,27140137,Yongsu-dong,용수동,53.23623489591676
334,27140138,Sinmu-dong,신무동,39.338005648109714
335,27140139,Midae-dong,미대동,45.732758654186014
336,27140140,Nae-dong,내동,72.79620642221577
337,27140141,Sinyong-dong,신용동,64.9018815903214
338,27140142,Jungdae-dong,중대동,64.39543922835351
339,27140143,Songjeong-dong,송정동,76.00040573608865
340,27140144,Deokgok-dong,덕곡동,63.12908962019298
341,27140145,Jimyo-dong,지묘동,26.738936601727676
342,27170101,Naedang-dong,내당동,16.516647753532776
343,27170102,Bisan-dong,비산동,16.553085279537612
344,27170104,Sangni-dong,상리동,58.998537453051405
345,27170105,Jungni-dong,중리동,16.817604766178444
346,27170106,Ihyeon-dong,이현동,21.359346537681372
347,27200102,Bongdeok-dong,봉덕동,44.326076138446275
348,27200103,Daemyeong-dong,대명동,58.482229062568116
349,27230106,Chimsan-dong,침산동,47.40680272017368
350,27230111,Sangyeok-dong,산격동,19.2283303031786
351,27230112,Bokhyeon-dong,복현동,16.7359013526389
352,27230113,Geomdan-dong,검단동,19.421914452513363
353,27230114,Dongbyeon-dong,동변동,68.58547872246803
354,27230115,Seobyeon-dong,서변동,70.31081322225357
355,27230116,Joya-dong,조야동,52.11679668117246
356,27230117,Nogok-dong,노곡동,27.753960464738043
357,27230118,Eumnae-dong,읍내동,77.84733485235905
358,27230119,Dongho-dong,동호동,50.93986530953581
359,27230120,Hakjeong-dong,학정동,30.840792987831666
360,27230121,Donam-dong,도남동,74.680710156586
361,27230122,Gugu-dong,국우동,59.74755000948881
362,27230123,Guam-dong,구암동,50.329060536142755
363,27230124,Dongcheon-dong,동천동,16.879844790212324
364,27230125,Gwaneum-dong,관음동,32.91711862686135
365,27230126,Taejeon-dong,태전동,66.44396485556933
366,27230127,Maecheon-dong,매천동,54.63826934943381
367,27230128,Paldal-dong,팔달동,52.222644643302104
368,27230129,Geumho-dong,금호동,70.13856855922766
369,27230130,Sasu-dong,사수동,59.39061358446867
370,27230131,Yeongyeong-dong,연경동,60.71035981288134
371,27260101,Beomeo-dong,범어동,18.290989332061812
372,27260102,Manchon-dong,만촌동,16.51058602794923
373,27260107,Hwanggeum-dong,황금동,16.96833005828186
374,27260109,Sang-dong,상동,15.652693671720721
375,27260110,Pa-dong,파동,66.46447754106117
376,27260111,Dusan-dong,두산동,19.722516519632325
377,27260112,Jisan-dong,지산동,66.68174631887138
378,27260113,Beommul-dong,범물동,35.686578128444935
379,27260114,Siji-dong,시지동,19.25836335289915
380,27260115,Maeho-dong,매호동,53.13338271621589
381,27260116,Seong-dong,성동,17.792096738229873
382,27260117,Sawol-dong,사월동,16.74748709750038
383,27260119,Uksu-dong,욱수동,48.75804312740785
384,27260120,Nobyeon-dong,노변동,20.86531284543178
385,27260122,Samdeok-dong,삼덕동,40.60939841673333
386,27260123,Yeonho-dong,연호동,18.55441596529241
387,27260124,Icheon-dong,이천동,19.33520448813314
388,27260125,Gomo-dong,고모동,49.941784854072516
389,27260126,Gacheon-dong,가천동,23.79183661804555
390,27260127,Daeheung-dong,대흥동,31.362496663900398
391,27290101,Seongdang-dong,성당동,48.97689930693786
392,27290102,Duryu-dong,두류동,16.861796822848394
393,27290104,Paho-dong,파호동,15.897044462096277
394,27290106,Galsan-dong,갈산동,16.247183513941092
395,27290107,Sindang-dong,신당동,25.921365498373717
396,27290108,Igok-dong,이곡동,29.593058478572555
397,27290109,Jang-dong,장동,15.639494493567629
398,27290110,Janggi-dong,장기동,25.651014188554015
399,27290111,Yongsan-dong,용산동,20.485261995531626
400,27290115,Sangin-dong,상인동,68.17212377064065
401,27290116,Dowon-dong,도원동,48.79992149767157
402,27290120,Wolseong-dong,월성동,62.61526767795884
403,27290121,Woram-dong,월암동,16.118512566046707
404,27290122,Songhyeon-dong,송현동,23.621606538489427
405,27290123,Daegok-dong,대곡동,28.454661135379546
406,27290124,Bon-dong,본동,45.22441758763835
407,27290125,Hosan-dong,호산동,34.81517567109524
408,27710250,Hwawon-eup,화원읍,72.80927486247555
409,27710253,Nongong-eup,논공읍,48.14191571493948
410,27710256,Dasa-eup,다사읍,82.63989550792041
411,27710259,Yuga-eup,유가읍,89.23336332817682
